user_id,item_id
0,1543 1551 1811 3349 2968 2602 3371 2350 1454 2480
1,1548 1039 2960 1551 1811 1044 36 680 169 1067
2,640 1039 1044 2968 3358 2210 1956 293 3238 1831
3,2328 3358 799 2342 52 183 3002 3005 3390 3529
4,1030 146 3350 1814 1560 2076 3358 37 2862 942
5,2833 530 147 534 28 1186 3247 175 945 1205
6,3597 1296 534 166 44 945 1073 1205 3390 3402
7,1548 1044 928 2210 680 1067 1454 2993 563 2626
8,0 833 1543 2376 3529 3227 1211 44 175 945
9,1030 779 1551 2960 146 1303 1560 2331 3013 457
10,640 530 534 1315 1316 44 2862 1583 175 945
11,2817 16 3349 283 1279 1956 2732 2480 2993 52
12,2688 530 534 2327 1436 1960 44 175 945 3125
13,640 1030 779 398 3215 3473 146 3349 2210 2980
14,3349 1304 3358 2980 2342 43 3371 942 3119 1470
15,146 1304 802 2342 3371 942 183 201 2382 3663
16,2054 1678 530 534 37 44 175 945 1073 833
17,1551 1937 3349 3358 1057 1831 3371 3501 1454 944
18,640 1030 146 3358 1583 312 3000 1216 201 1868
19,2564 1543 530 534 1316 169 2732 44 175 945
20,131 140 153 32 1315 933 314 3390 322 323
21,2564 524 1166 271 1425 791 1699 1316 2342 1480
22,146 3349 1304 942 183 2500 3272 201 3663 3409
23,1030 8 12 13 20 27 30 3105 33 2470
24,2564 146 1045 2581 1304 1186 2853 3367 942 1583
25,512 1543 1039 1296 530 534 169 175 944 945
26,1030 146 1560 1315 1079 829 707 3663 3153 2903
27,640 2564 1030 1543 1548 146 928 1316 1454 944
28,1030 1287 1420 1303 3358 928 36 2603 1454 2614
29,2688 1928 1548 1551 3602 928 3364 1195 2862 2230
30,772 146 3105 3371 2862 3382 3002 1471 1736 3528
31,640 1543 1039 1551 1303 2980 1831 2857 3501 1454
32,1030 136 146 1303 3367 169 1583 2993 52 3405
33,640 2688 1030 1039 1044 3358 1956 2342 680 1067
34,2688 146 3349 1304 36 942 1583 1475 201 3663
35,1030 1543 1548 146 1560 796 928 2603 2862 944
36,530 534 3365 44 175 1456 945 1073 1337 2256
37,2956 3474 530 534 1560 1831 3367 44 175 945
38,1546 3349 2199 2328 1956 2468 1831 680 2603 2993
39,1937 3349 2968 3227 1315 3365 3371 2350 1337 573
40,2054 1543 1030 146 1811 1560 2862 3013 2502 1223
41,2273 3400 904 968 2603 971 2862 1583 2128 463
42,1808 1937 146 2980 3371 1583 304 2492 201 3663
43,3215 3473 1044 3349 2331 3358 799 1831 680 1067
44,640 1039 1551 146 1057 2338 1956 293 1830 2297
45,2688 2314 1044 1913 3358 2342 1831 680 2603 1067
46,0 2817 1555 3349 2980 168 170 2603 3371 2222
47,1030 146 2581 152 2088 44 3013 1223 201 3663
48,1 2 4 1543 9 14 18 25 1057 1186
49,1030 1545 1548 1551 146 1687 1822 928 1573 3371
50,1546 2314 1044 3349 680 2603 1067 1583 1328 2993
51,2574 146 3349 1304 1052 2980 942 52 3256 1984
